"filename", "language", "Markdown", "HTML", "JavaScript", "XML", "JSON", "CSS", "SCSS", "comment", "blank", "total"
"c:\Users\Gunner\Desktop\Proyecto Andrea\final\cocinas\README.md", "Markdown", 38, 0, 0, 0, 0, 0, 0, 0, 33, 71
"c:\Users\Gunner\Desktop\Proyecto Andrea\final\cocinas\package-lock.json", "JSON", 0, 0, 0, 0, 17913, 0, 0, 0, 1, 17914
"c:\Users\Gunner\Desktop\Proyecto Andrea\final\cocinas\package.json", "JSON", 0, 0, 0, 0, 56, 0, 0, 0, 1, 57
"c:\Users\Gunner\Desktop\Proyecto Andrea\final\cocinas\public\index.html", "HTML", 0, 28, 0, 0, 0, 0, 0, 23, 1, 52
"c:\Users\Gunner\Desktop\Proyecto Andrea\final\cocinas\public\manifest.json", "JSON", 0, 0, 0, 0, 25, 0, 0, 0, 1, 26
"c:\Users\Gunner\Desktop\Proyecto Andrea\final\cocinas\src\App.js", "JavaScript", 0, 0, 113, 0, 0, 0, 0, 0, 35, 148
"c:\Users\Gunner\Desktop\Proyecto Andrea\final\cocinas\src\App.test.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Gunner\Desktop\Proyecto Andrea\final\cocinas\src\components\App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 3, 3
"c:\Users\Gunner\Desktop\Proyecto Andrea\final\cocinas\src\components\Catalogo.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 0, 4, 24
"c:\Users\Gunner\Desktop\Proyecto Andrea\final\cocinas\src\components\CocinaSlideData.js", "JavaScript", 0, 0, 439, 0, 0, 0, 0, 0, 5, 444
"c:\Users\Gunner\Desktop\Proyecto Andrea\final\cocinas\src\components\Cocinas.js", "JavaScript", 0, 0, 122, 0, 0, 0, 0, 0, 23, 145
"c:\Users\Gunner\Desktop\Proyecto Andrea\final\cocinas\src\components\Contact.js", "JavaScript", 0, 0, 30, 0, 0, 0, 0, 0, 3, 33
